S/N,Base,Type,Dte,Types of Eqpt,Brand & Model,Serial No,"Processor, RAM & HDD/SSD",CPU,RAM,HDD,SSD,Status,Location,Remarks by CW&IT,Remarks,Win 10 RMK,AD Status
1,Air HQ,Existing,Dte Rect,All-in-One,Barnd: HP Model: EliteOne 800 G3,SGH831SVM5,"Core i5 7th Gen, RAM: 8 GB, HDD: 1 TB",Core i5 7th Gen,8 GB,1 TB,0,svc,AD,ok,Withdraw & Issue,,
2,Air HQ,Existing,Dte Rect,Desktop,Brand: Clone Model: 107S76 Ser: AU1A0743000354,NA,"Corei5 4th Gen, RAM: 8 GB, HDD: 500 GB, SSD: 128 GB",Corei5 4th Gen,8 GB,500 GB,128 GB,svc,O/R-1,ok,Withdraw & Issue,,
3,Air HQ,Existing,Dte Rect,Desktop,Brand: Dell Model: OPYUPLEX-GXI,6HB11S,"Core i5 4th Gen, RAM: 8 GB, HDD: 500 GB, SDD: 128 GB",Core i5 4th Gen,8 GB,500 GB,0,svc,O/R-3,ok,Withdraw & Issue,,
4,Air HQ,Existing,Dte Rect,Desktop,Brand: NAVANA Model: 59185,5670972,"Core i3 6th Gen, RAM: 4 GB, SSD: 512 GB",Core i3 6th Gen,4 GB,0,512 GB,svc,Ad & Pub,ok,Withdraw & Issue,,
5,Air HQ,Existing,Dte Rect,Desktop,Brand: Pride Model: 486SX33,94000152,"Core i3 2nd Gen, RAM: 4 GB, HDD: 500 GB",Core i3 2nd Gen,4 GB,500 GB,0,svc,O/R-2,ok,Withdraw & Issue,,
6,Air HQ,Existing,JAG Br,All-in-One,Brand: Hp Model: Flite one 800G3,SGH831SVM4,"Core i5 7th, RAM: 8GB, HDD: 1 TB",Core i5 7th,8GB,1 TB,0,svc,O/R-4,Withdraw,Issued,,
7,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3 7th Gen, RAM: 4GB, HDD: 500 GB",Core i3 7th Gen,4GB,500 GB,0,svc,O/R-1,ok,Withdraw & Issue,,
8,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3 7th Gen, RAM: 4GB, HDD: 500 GB",Core i3 7th Gen,4GB,500 GB,0,svc,O/R-3,ok,Withdraw & Issue,,
9,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3, RAM: 4GB, HDD: 500 GB SSD 128",Core i3,4GB,500 GB,0,svc,O/R-6,ok,Withdraw & Issue,,
10,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3 7th Gen, RAM: 4GB, HDD: 500 GB SSD 256",Core i3 7th Gen,4GB,500 GB,0,svc,PA,Withdraw,Issued,,
